time_min,TS1
7.2178969569500016,295.272
7.219608465966667,295.272
7.221296959033347,295.272
7.22299203195001,295.272
7.2246757972166655,295.272
7.226392409716664,295.272
7.228080906250003,295.272
7.2297939402833435,295.272
7.23151145903333,295.272
7.233202365966675,295.272
7.234919061800004,295.272
7.236635521533329,295.272
7.23833789583335,295.272
7.240045797916658,295.272
7.241763322916662,295.272
7.243453124999997,295.272
7.245158908333329,295.272
7.246847023616677,295.272
7.248545976383351,295.272
7.250249737499993,295.272
7.25195250555001,295.272
7.253673435416658,295.272
7.255383019450012,295.272
7.257079486800012,295.272
7.258801505550006,295.272
7.260521884716672,295.272
7.262215047216674,295.272
7.263937053466664,295.272
7.265634813199995,295.272
7.267332002083337,295.272
7.269037638200007,295.272
7.270730290283336,295.272
7.272452035416669,295.272
7.274145755550005,295.272
7.275839934716684,295.272
7.277541427783338,295.272
7.279258020133329,295.272
7.280948055550016,295.272
7.282640772916663,295.272
7.284360477783351,295.272
7.286067863883333,295.272
7.287789638883351,295.272
7.289501771533348,295.272
7.29121213819999,295.272
7.292911189583325,295.272
7.294598108333351,295.272
7.296289929866664,295.272
7.29797711596666,295.272
7.299695479866659,295.272
7.301393195133339,295.272
7.303102427783324,295.272
7.304787046533329,295.272
7.3064797992999955,295.272
7.308181051383326,295.272
7.311759443749997,295.272
7.315106952783329,295.272
7.316814524299995,295.272
7.318505361799998,295.272
7.320279081950018,295.272
7.321975195833329,295.272
7.3236710437500125,295.272
7.325369818750005,295.272
7.327065565283344,295.272
7.328760093050005,295.272
7.330443306949989,295.272
7.332163918749999,295.272
7.333868193750004,295.272
7.3355587562500055,295.272
7.337265248616677,295.272
7.338972542366658,295.272
7.340685701383336,295.272
7.342378170833339,295.272
7.344065180549993,295.272
7.345767218750007,295.272
7.347449804166657,295.272
7.34916509028335,295.272
7.350859397916671,295.272
7.35256684791666,295.272
7.354282773616675,295.272
7.35598524930001,295.272
7.3576822444500065,295.272
7.35939745555,295.272
7.361107006950018,295.272
7.362825381249999,295.272
7.364518981249997,295.272
7.366205402783332,295.272
7.367895484033337,295.272
7.369613033333341,295.272
7.37130443749999,295.272
7.372986645833347,295.272
7.374690012500014,295.272
7.376375538883349,295.272
7.378068819450012,295.272
7.3797551402833355,295.272
7.381443580549997,295.272
7.383154216666663,295.272
7.3848663270833335,295.272
7.386663931250011,295.272
7.388350137500008,295.272
7.390067933333345,295.272
7.391787631950016,295.272
7.393481547216682,295.272
7.395178479166679,295.272
7.396893926383352,295.272
